FECHA	BCOLO CB Equity	ELCONDOR CB Equity	CONCONC CB Equity	PFBCOLO CB Equity	GRUPOSUR CB Equity	PFGRUPSU CB Equity	ISA CB Equity	EXITO CB Equity	NUTRESA CB Equity	GRUPOARG CB Equity	CEMARGOS CB Equity	PFGRUPOA CB Equity	PFCEMARG CB Equity	ETB CB Equity	PFAVH CB Equity	CELSIA CB Equity	BVC CB Equity	ECOPETL CB Equity	BOGOTA CB Equity	GEB CB Equity	PFDAVVND CB Equity	CORFICOL CB Equity	PFAVAL CB Equity	PFCORCOL CB Equity	PFCARPAK CB Equity	MINEROS CB Equity	CNEC CB Equity	FABRI CB Equity	AVAL CB Equity	ENKA CB Equity	VALSIME CB Equity	CLH CB Equity
16/06/2021	27650	937.2	405	28140	19730	17500	22610	12000	22190	10100	5240	8250	3688	203.1	262.83	4350	11180	2409	71990	2395	29900	29700	1109	24000	5326.13	4085	10210	5	1061	14.6	4626.32	3800
17/06/2021	27500	937.2	405	27760	19790	17740	23000	11910	22600	10190	5230	8395	3601	203.1	260.77	4310	11200	2392	70370	2390	29470	29990	1098	23500	5326.13	3972	10040	5	1060	14.6	4626.32	3800
18/06/2021	27800	937.2	405	27790	20540	18190	23020	11900	22500	10500	5385	8520	3699	200	279.75	4246	11320	2397	70200	2439	28900	30000	1100	23500	5326.13	3980	10060	5	1050	14.6	4626.32	3800
21/06/2021	27490	937.2	405	27660	20000	17830	22400	11900	22460	10310	5270	8350	3844	201	270.85	4153	11390	2460	70980	2382	28450	29370	1087	23500	5326.13	3980	10040	4.51	1095	14.6	4626.32	3800
22/06/2021	27150	937.2	405	27200	19770	17460	22460	11900	22100	10310	5245	8550	3798	201	298.27	4080	11390	2481	70000	2440	28400	29130	1080	23500	5326.13	3990	10060	4.51	1095	14.6	4626.32	3800
23/06/2021	26890	923.8	400	27180	19230	17400	22200	11800	22500	10200	5265	8550	3798	201	297.65	4122	11240	2522	69500	2530	28750	28800	1096	23000	5326.13	4013	10390	4.51	1095	14.6	4626.32	3800
24/06/2021	27400	923.8	400	27800	19760	17700	22540	13000	22440	10560	5460	8570	3870	201	298.02	4210	11340	2750	70000	2499	29600	29580	1099	23300	5326.13	4050	10390	4.51	1100	14.6	4626.32	3700
25/06/2021	27680	923.8	400	27640	19800	17740	22460	14200	22400	10800	5470	8690	3900	209.2	298.09	4210	11320	2770	70490	2532	29470	29930	1119	23200	5326.13	4080	10400	4.51	1100	14.6	4626.32	3700
28/06/2021	27050	923.8	400	27030	19640	17680	22300	13990	22350	10770	5500	8700	3900	208.1	298.09	4200	11300	2718	70000	2542	29100	29630	1100	23200	5326.13	4054	10500	4.35	1100	14.6	4626.32	3700
29/06/2021	26360	940	380	26700	19000	17340	22200	13170	21710	10400	5400	8650	3850	208.1	288.75	4150	11300	2717	69940	2600	28160	29060	1089	23200	5326.13	4029	10340	4.27	1070	14.6	4626.32	3600
30/06/2021	26400	940	350	26820	18500	16520	22150	13600	21880	10000	5350	8020	3740	208.9	288.75	4250	11250	2722	69800	2571	27540	29200	1083	23300	5326.13	4029	10080	4.27	1139	14.6	4626.32	3600
1/07/2021	26080	940	350	26700	18300	16500	22620	13440	21800	10100	5460	8255	3869	208.9	285.37	4166	11300	2819	70500	2579	28010	29300	1095	23990	5326.13	4024	10150	4.27	1139	14.6	4626.32	3600
2/07/2021	27500	940	379.8	28000	18890	17000	23500	13290	22640	10500	5500	8300	3868	207	267.25	4170	11290	2851	70370	2541	28720	29730	1092	23500	5326.13	4024	10240	4.27	1030	14.6	4626.32	3700
5/07/2021	27500	940	379.8	28000	18890	17000	23500	13290	22640	10500	5500	8300	3868	207	267.25	4170	11290	2851	70370	2541	28720	29730	1092	23500	5326.13	4024	10240	4.27	1030	14.6	4626.32	3700
6/07/2021	27010	940	379.8	27400	18710	16810	23000	12700	22310	10590	5440	8495	3841	207	267.25	4190	11140	2789	69000	2507	28220	30000	1086	23940	5326.13	4050	10200	4.27	1030	14.6	4626.32	3500
7/07/2021	27600	940	379.8	28200	19300	17260	23200	12700	22200	10510	5540	8495	3901	207	267.25	4127	11140	2800	71000	2518	28640	29970	1095	23920	5326.13	4028	10240	4.27	1030	14.6	4626.32	3500
8/07/2021	27610	860	395	28310	19180	17110	23370	12500	22110	10500	5550	8435	3815	203	300.08	4179	11060	2753	70980	2514	29350	29980	1091	23000	5326.13	4005	10350	4.38	1030	14.6	4626.32	3500
9/07/2021	28100	900	395	28810	19510	17380	23350	12540	22130	10420	5620	8450	3900	200	300.08	4159	11140	2761	70960	2517	29550	29910	1100	23800	5326.13	4015	10300	4.38	1088	14.6	4626.32	3500
12/07/2021	28180	900	395	28800	19770	17400	23810	12500	21990	10550	5620	8400	3900	200.5	300.08	4202	11200	2750	71000	2519	29850	30450	1115	23990	5326.13	4015	10300	4.38	1090	14.6	4626.32	3500
13/07/2021	28070	900	390	28700	19640	17400	23800	12370	21860	10450	5620	8350	3900	200.5	300	4202	11270	2720	71490	2520	29900	30260	1115	23990	5326.13	3998	10300	4.38	1060	14.1	4626.32	3500
14/07/2021	28100	900	389.7	28610	19640	17300	23530	12320	21920	10520	5580	8310	3900	200.5	300	4200	11200	2650	71290	2515	29900	30060	1097	23990	5326.13	4020	10100	4.38	1060	14.1	4626.32	3500
15/07/2021	28000	920	382	28800	19440	17110	23000	12320	21960	10520	5600	8300	3900	200	296.62	4150	11150	2570	71290	2509	29760	30090	1080	23000	5326.13	4025	10010	4.38	1035	14	4626.32	3500
16/07/2021	27990	920	381	28770	19200	17180	23190	12320	21960	10500	5585	8430	3900	196.1	296.62	4149	11140	2560	71260	2504	29540	29990	1085	23050	5326.13	4019	9850	4.38	1035	14	4626.32	3500
